[2020-03-14 10:33:32] [info]  [ 7632] Service started in 1189 ms.
[2020-03-14 10:35:42] [info]  [  124] Stopping service...
[2020-03-14 10:35:43] [info]  [  124] Service stop thread completed.
[2020-03-14 10:35:44] [info]  [ 9732] Run service finished.
[2020-03-14 10:35:44] [info]  [ 9732] Commons Daemon procrun finished
[2020-03-14 10:35:44] [info]  [ 8680] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:35:44] [info]  [ 8680] Running 'Tomcat8' Service...
[2020-03-14 10:35:44] [info]  [ 1160] Starting service...
[2020-03-14 10:35:45] [info]  [ 1160] Service started in 1196 ms.
[2020-03-14 10:36:27] [info]  [ 3568] Stopping service...
[2020-03-14 10:36:28] [info]  [ 3568] Service stop thread completed.
[2020-03-14 10:36:28] [info]  [ 8680] Run service finished.
[2020-03-14 10:36:28] [info]  [ 8680] Commons Daemon procrun finished
[2020-03-14 10:36:28] [info]  [ 8672] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:36:28] [info]  [ 8672] Running 'Tomcat8' Service...
[2020-03-14 10:36:28] [info]  [ 4164] Starting service...
[2020-03-14 10:36:30] [info]  [ 4164] Service started in 1177 ms.
[2020-03-14 10:38:26] [info]  [ 3100] Stopping service...
[2020-03-14 10:38:27] [info]  [ 3100] Service stop thread completed.
[2020-03-14 10:38:27] [info]  [ 8672] Run service finished.
[2020-03-14 10:38:27] [info]  [ 8672] Commons Daemon procrun finished
[2020-03-14 10:38:27] [info]  [ 5928] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:38:27] [info]  [ 5928] Running 'Tomcat8' Service...
[2020-03-14 10:38:27] [info]  [ 3168] Starting service...
[2020-03-14 10:38:29] [info]  [ 3168] Service started in 1168 ms.
[2020-03-14 10:40:46] [info]  [ 8436] Stopping service...
[2020-03-14 10:40:47] [info]  [ 8436] Service stop thread completed.
[2020-03-14 10:40:47] [info]  [ 5928] Run service finished.
[2020-03-14 10:40:47] [info]  [ 5928] Commons Daemon procrun finished
[2020-03-14 10:40:48] [info]  [ 5300] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:40:48] [info]  [ 5300] Running 'Tomcat8' Service...
[2020-03-14 10:40:48] [info]  [ 9780] Starting service...
[2020-03-14 10:40:49] [info]  [ 9780] Service started in 1183 ms.
[2020-03-14 10:48:32] [info]  [ 4680] Stopping service...
[2020-03-14 10:48:33] [info]  [ 4680] Service stop thread completed.
[2020-03-14 10:48:33] [info]  [ 5300] Run service finished.
[2020-03-14 10:48:33] [info]  [ 5300] Commons Daemon procrun finished
[2020-03-14 10:48:34] [info]  [ 1516] Commons Daemon procrun (1.0.15.0 64-bit) started
[2020-03-14 10:48:34] [info]  [ 1516] Running 'Tomcat8' Service...
[2020-03-14 10:48:34] [info]  [ 2036] Starting service...
[2020-03-14 10:48:35] [info]  [ 2036] Service started in 1194 ms.
[2020-03-14 10:50:55] [info]  [ 9256] Stopping service...
[2020-03-14 10:50:57] [info]  [ 9256] Service stop thread completed.
